date,number,week
2020-09-17,53,Thursday
2020-09-16,67,Wednesday
2020-09-15,34,Tuesday
2020-09-14,55,Monday
2020-09-13,79,Sunday
2020-09-12,70,Saturday
2020-09-11,55,Friday
2020-09-10,54,Thursday
2020-09-09,37,Wednesday
2020-09-08,57,Tuesday
2020-09-07,55,Monday
2020-09-06,70,Sunday
2020-09-05,55,Saturday
2020-09-04,56,Friday
2020-09-03,47,Thursday
2020-09-02,63,Wednesday
2020-09-01,60,Tuesday
2020-08-31,51,Monday
2020-08-30,78,Sunday
2020-08-29,67,Saturday
2020-08-28,59,Friday
2020-08-27,55,Thursday
2020-08-26,72,Wednesday
2020-08-25,78,Tuesday
2020-08-24,52,Monday
2020-08-23,91,Sunday
2020-08-22,74,Saturday
2020-08-21,61,Friday
2020-08-20,65,Thursday
2020-08-19,67,Wednesday
2020-08-18,58,Tuesday
2020-08-17,87,Monday
2020-08-16,95,Sunday
2020-08-15,80,Saturday
2020-08-14,89,Friday
2020-08-13,84,Thursday
2020-08-12,79,Wednesday
2020-08-11,78,Tuesday
2020-08-10,119,Monday
2020-08-09,104,Sunday
2020-08-08,90,Saturday
2020-08-07,94,Friday
2020-08-06,56,Thursday
2020-08-05,67,Wednesday
2020-08-04,60,Tuesday
2020-08-03,72,Monday
2020-08-02,92,Sunday
2020-08-01,90,Saturday
2020-07-31,71,Friday
2020-07-30,71,Thursday
2020-07-29,55,Wednesday
2020-07-28,75,Tuesday
2020-07-27,82,Monday
2020-07-26,101,Sunday
2020-07-25,107,Saturday
2020-07-24,112,Friday
2020-07-23,112,Thursday
2020-07-22,80,Wednesday
2020-07-21,70,Tuesday
2020-07-20,70,Monday
2020-07-19,79,Sunday
2020-07-18,86,Saturday
2020-07-17,54,Friday
2020-07-16,56,Thursday
2020-07-15,54,Wednesday
2020-07-14,62,Tuesday
2020-07-13,69,Monday
2020-07-12,96,Sunday
2020-07-11,73,Saturday
2020-07-10,64,Friday
2020-07-09,62,Thursday
2020-07-08,56,Wednesday
2020-07-07,55,Tuesday
2020-07-06,58,Monday
2020-07-05,88,Sunday
2020-07-04,61,Saturday
2020-07-03,46,Friday
2020-07-02,57,Thursday
2020-07-01,60,Wednesday
2020-06-30,55,Tuesday
2020-06-29,43,Monday
2020-06-28,62,Sunday
2020-06-27,52,Saturday
2020-06-26,41,Friday
2020-06-25,29,Thursday
2020-06-24,52,Wednesday
2020-06-23,38,Tuesday
2020-06-22,45,Monday
2020-06-21,73,Sunday
2020-06-20,51,Saturday
2020-06-19,39,Friday
2020-06-18,63,Thursday
2020-06-17,64,Wednesday
2020-06-16,48,Tuesday
2020-06-15,48,Monday
2020-06-14,74,Sunday
2020-06-13,58,Saturday
2020-06-12,50,Friday
2020-06-11,52,Thursday
2020-06-10,61,Wednesday
2020-06-09,59,Tuesday
2020-06-08,52,Monday
2020-06-07,83,Sunday
2020-06-06,60,Saturday
2020-06-05,56,Friday
2020-06-04,54,Thursday
2020-06-03,49,Wednesday
2020-06-02,49,Tuesday
2020-06-01,48,Monday
2020-05-31,83,Sunday
2020-05-30,49,Saturday
2020-05-29,36,Friday
2020-05-28,49,Thursday
2020-05-27,50,Wednesday
2020-05-26,56,Tuesday
2020-05-25,50,Monday
2020-05-24,58,Sunday
2020-05-23,45,Saturday
2020-05-22,31,Friday
2020-05-21,52,Thursday
2020-05-20,46,Wednesday
2020-05-19,58,Tuesday
2020-05-18,43,Monday
2020-05-17,72,Sunday
2020-05-16,64,Saturday
2020-05-15,60,Friday
2020-05-14,60,Thursday
2020-05-13,60,Wednesday
2020-05-12,56,Tuesday
2020-05-11,75,Monday
2020-05-10,101,Sunday
2020-05-09,92,Saturday
2020-05-08,72,Friday
2020-05-07,62,Thursday
2020-05-06,121,Wednesday
2020-05-05,102,Tuesday
2020-05-04,138,Monday
2020-05-03,109,Sunday
2020-05-02,112,Saturday
2020-05-01,84,Friday
2020-04-30,95,Thursday
2020-04-29,133,Wednesday
2020-04-28,77,Tuesday
2020-04-27,87,Monday
2020-04-26,130,Sunday
2020-04-25,130,Saturday
2020-04-24,89,Friday
2020-04-23,78,Thursday
2020-04-22,67,Wednesday
2020-04-21,72,Tuesday
2020-04-20,81,Monday
2020-04-19,99,Sunday
2020-04-18,93,Saturday
2020-04-17,70,Friday
2020-04-16,60,Thursday
2020-04-15,79,Wednesday
2020-04-14,76,Tuesday
2020-04-13,79,Monday
2020-04-12,132,Sunday
2020-04-11,93,Saturday
2020-04-10,66,Friday
2020-04-09,115,Thursday
2020-04-08,106,Wednesday
2020-04-07,99,Tuesday
2020-04-06,99,Monday
2020-04-05,140,Sunday
2020-04-04,149,Saturday
2020-04-03,85,Friday
2020-04-02,125,Thursday
2020-04-01,101,Wednesday
2020-03-31,113,Tuesday
2020-03-30,107,Monday
2020-03-29,87,Sunday
2020-03-28,108,Saturday
2020-03-27,66,Friday
2020-03-26,75,Thursday
2020-03-25,71,Wednesday
2020-03-24,50,Tuesday
2020-03-23,70,Monday
2020-03-22,98,Sunday
2020-03-21,64,Saturday
2020-03-20,50,Friday
2020-03-19,65,Thursday
2020-03-18,56,Wednesday
2020-03-17,64,Tuesday
2020-03-16,55,Monday
2020-03-15,72,Sunday
2020-03-14,65,Saturday
2020-03-13,58,Friday
2020-03-12,54,Thursday
2020-03-11,63,Wednesday
2020-03-10,65,Tuesday
2020-03-09,70,Monday
2020-03-08,79,Sunday
2020-03-07,65,Saturday
2020-03-06,46,Friday
2020-03-05,58,Thursday
2020-03-04,81,Wednesday
2020-03-03,73,Tuesday
2020-03-02,61,Monday
2020-03-01,103,Sunday
